"State","OBJECTID","ZIP","OBJECTID_1","DEPCODE","COUNTYNAME","FieldMatch","POName","Places","OBJECTID_12","ZIPX","c_places","Cases_1","LabelY"
"Florida",517,"33073",909,6,"Broward","Broward-33073","Pompano Beach","Coconut Creek, Coral Springs, Deerfield Beach, Parkland, Pompano Beach, Hillsboro Pines, Watergate",100,"Broward-33073","Coconut Creek, Coral Springs, Margate, Parkland, Pompano Beach","1171",1171
"Florida",518,"33076",911,6,"Broward","Broward-33076","Pompano Beach","Pompano Beach, Coral Springs, Parkland",101,"Broward-33076","Coral Springs, Parkland, Pompano Beach","738",738
"Florida",519,"33109",913,13,"Dade","Dade-33109","Miami Beach","Miami, Miami Beach, Fisher Island",228,"Dade-33109","Fisher Island, Miami, Miami Beach","26",26
"Florida",520,"33122",914,13,"Dade","Dade-33122","Miami","Doral",229,"Dade-33122","Air Mail Facility, Doral, Miami","122",122
"Florida",521,"33125",915,13,"Dade","Dade-33125","Miami","Miami, Coral Gables",230,"Dade-33125","Miami","5761",5761
"Florida",522,"33126",916,13,"Dade","Dade-33126","Miami","Doral, Miami, Fountainebleau",231,"Dade-33126","Doral, Miami","3396",3396
"Florida",523,"33127",917,13,"Dade","Dade-33127","Miami","Miami",232,"Dade-33127","Coconut Grove, Miami, Miami Beach","1591",1591
"Florida",524,"33128",918,13,"Dade","Dade-33128","Miami","Miami",233,"Dade-33128","Miami","2620",2620
"Florida",525,"33129",919,13,"Dade","Dade-33129","Miami","Miami",234,"Dade-33129","Miami","450",450
"Florida",526,"33130",920,13,"Dade","Dade-33130","Miami","Miami",235,"Dade-33130","Miami, Miami Beach","1842",1842
"Florida",527,"33131",921,13,"Dade","Dade-33131","Miami","Miami",236,"Dade-33131","Miami","591",591
"Florida",528,"33132",922,13,"Dade","Dade-33132","Miami","Miami",237,"Dade-33132","Miami","700",700
"Florida",529,"33133",923,13,"Dade","Dade-33133","Miami","Miami, Coral Gables",238,"Dade-33133","Coconut Grove, Coral Gables, Miami","1433",1433
"Florida",530,"33134",924,13,"Dade","Dade-33134","Miami","West Miami, Miami, Coral Gables, Coral Terrace",239,"Dade-33134","Coconut Grove, Coral Gables, Miami","1439",1439
"Florida",531,"33135",925,13,"Dade","Dade-33135","Miami","Miami, Coral Gables",240,"Dade-33135","Apt 2, Hialeah, Miami","2307",2307
"Florida",532,"33136",926,13,"Dade","Dade-33136","Miami","Miami",241,"Dade-33136","Doral, Hialeah, Miami, Miramar","2829",2829
"Florida",533,"33137",927,13,"Dade","Dade-33137","Miami","Miami",242,"Dade-33137","Coral Gables, Miami","1086",1086
"Florida",534,"33138",928,13,"Dade","Dade-33138","Miami","Miami, Biscayne Park, El Portal, Miami Shores, West Little River",243,"Dade-33138","El Portal, Miami, Miami Shores, Opa Locka","882",882
"Florida",535,"33139",929,13,"Dade","Dade-33139","Miami Beach","Miami, Miami Beach",244,"Dade-33139","El Paso, Fisher Island, Miami, Miami Beach, Venetian Islands","1336",1336
"Florida",536,"33140",930,13,"Dade","Dade-33140","Miami Beach","Miami Beach",245,"Dade-33140","Miami, Miami Beach","1073",1073
"Florida",537,"33141",931,13,"Dade","Dade-33141","Miami Beach","Surfside, Miami Beach",246,"Dade-33141","Miami, Miami Beach, North Bay Village","1190",1190
"Florida",538,"33142",932,13,"Dade","Dade-33142","Miami","Miami, Hialeah, Miami Springs, Brownsville, Gladeview",247,"Dade-33142","Homestead, Miami","4734",4734
"Florida",539,"33143",933,13,"Dade","Dade-33143","Miami","Coral Gables, Pinecrest, South Miami, Glenvar Heights, Kendall, Olympia Heights, Sunset",248,"Dade-33143","Coral Gables, Miami, Miami Gardens, South Miami","2028",2028
"Florida",540,"33144",934,13,"Dade","Dade-33144","Miami","West Miami, Miami, Coral Gables, Coral Terrace, Fountainebleau, Westchester",249,"Dade-33144","Coral Gables, Miami, West Miami","1839",1839
"Florida",541,"33145",935,13,"Dade","Dade-33145","Miami","Miami, Coral Gables",250,"Dade-33145","Coral, Miami","1567",1567
"Florida",542,"33146",936,13,"Dade","Dade-33146","Miami","Miami, Coral Gables, South Miami",251,"Dade-33146","Coconut Grove, Coral Gables, Miami, University Of Miami","404",404
"Florida",543,"33147",937,13,"Dade","Dade-33147","Miami","Miami, Hialeah, Brownsville, Gladeview, Pinewood, West Little River, Westview",252,"Dade-33147","Doral, Miami","3105",3105
"Florida",545,"33150",939,13,"Dade","Dade-33150","Miami","Miami, El Portal, Miami Shores, Gladeview, Pinewood, West Little River",254,"Dade-33150","El Portal, Miami, Miami Shores","1463",1463
