"State","OBJECTID","ZIP","OBJECTID_1","DEPCODE","COUNTYNAME","FieldMatch","POName","Places","OBJECTID_12","ZIPX","c_places","Cases_1","LabelY"
"Florida",8,"32003",67,10,"Clay","Clay-32003","Fleming Island","Orange Park, Fleming Island, Lakeside",171,"Clay-32003","Fleming Island, Green Cove Springs, Middleburg, Orange Park","448",448
"Florida",9,"32008",71,15,"Dixie","Dixie-32008","Branford","Branford",295,"Dixie-32008","","0",0
"Florida",25,"32044",109,1,"Alachua","Alachua-32044","Hampton","Louise",1,"Alachua-32044","","0",0
"Florida",34,"32058",131,10,"Clay","Clay-32058","Lawtey","Lawtey",173,"Clay-32058","","0",0
"Florida",35,"32058",132,63,"Union","Union-32058","Lawtey","Lawtey",1063,"Union-32058","","0",0
"Florida",41,"32064",149,61,"Suwannee","Suwannee-32064","Live Oak","Live Oak",1052,"Suwannee-32064","Dowling Park, Live Oak","423",423
"Florida",47,"32080",164,18,"Flagler","Flagler-32080","Saint Augustine","Marineland",356,"Flagler-32080","","0",0
"Florida",49,"32081",166,16,"Duval","Duval-32081","Ponte Vedra","Jacksonville, Nocatee",300,"Duval-32081","Ponte Vedra","<5",-2
"Florida",64,"32096",192,61,"Suwannee","Suwannee-32096","White Springs","White Springs",1055,"Suwannee-32096","","0",0
"Florida",71,"32114",210,64,"Volusia","Volusia-32114","Daytona Beach","Daytona Beach, South Daytona, Holly Hill",1067,"Volusia-32114","Daytona Beach","562",562
"Florida",72,"32117",211,64,"Volusia","Volusia-32117","Daytona Beach","Daytona Beach, Ormond Beach, Holly Hill",1068,"Volusia-32117","Daytona Beach, Holly Hill","772",772
"Florida",73,"32118",212,64,"Volusia","Volusia-32118","Daytona Beach","Daytona Beach, Ormond Beach, Port Orange, Daytona Beach Shores",1069,"Volusia-32118","Daytona Beach, Daytona Beach Shores","165",165
"Florida",74,"32119",213,64,"Volusia","Volusia-32119","Daytona Beach","Daytona Beach, South Daytona, Port Orange",1070,"Volusia-32119","Daytona Beach, South Daytona, South Daytona Beach","224",224
"Florida",76,"32127",215,64,"Volusia","Volusia-32127","Port Orange","Ponce Inlet, South Daytona, Port Orange, Daytona Beach Shores",1072,"Volusia-32127","Ponce Inlet, Port Orange","244",244
"Florida",78,"32129",217,64,"Volusia","Volusia-32129","Port Orange","Daytona Beach, South Daytona, Port Orange",1074,"Volusia-32129","Port Orange","194",194
"Florida",81,"32131",221,55,"St. Johns","St. Johns-32131","East Palatka","Flagler Estates",1016,"St. Johns-32131","","0",0
"Florida",82,"32132",222,64,"Volusia","Volusia-32132","Edgewater","Edgewater, New Smyrna Beach, Glencoe",1076,"Volusia-32132","Edgewater","67",67
"Florida",86,"32136",228,64,"Volusia","Volusia-32136","Flagler Beach","Flagler Beach",1077,"Volusia-32136","","0",0
"Florida",94,"32159",244,60,"Sumter","Sumter-32159","Lady Lake","The Villages",1038,"Sumter-32159","Lady Lake, The Villages","8",8
"Florida",95,"32162",246,42,"Marion","Marion-32162","The Villages","The Villages",632,"Marion-32162","The Villages","22",22
"Florida",97,"32163",248,35,"Lake","Lake-32163","The Villages","Fruitland Park, The Villages",511,"Lake-32163","The Villages","7",7
"Florida",98,"32163",249,60,"Sumter","Sumter-32163","The Villages","Wildwood, The Villages",1040,"Sumter-32163","The Villages","185",185
